series,year,event,car_class,n_cars,max_laps,green_fraction,eligible
imsa,2023,Daytona,GTP,9,783,0.9,True
imsa,2023,Indianapolis,GTP,10,113,0.883,True
imsa,2023,Laguna Seca,GTP,9,102,0.768,True
imsa,2023,Long Beach,GTP,7,78,0.928,True
imsa,2023,Mosport,GTP,9,120,0.86,True
imsa,2023,Road America,GTP,10,80,0.95,True
imsa,2023,Road Atlanta,GTP,10,397,0.79,True
imsa,2023,Sebring,GTP,8,322,0.828,True
imsa,2023,Watkins Glen,GTP,8,201,0.893,True
imsa,2024,Daytona,GTP,10,791,0.898,True
imsa,2024,Detroit,GTP,10,75,0.782,True
imsa,2024,Indianapolis,GTP,11,219,0.72,True
imsa,2024,Laguna Seca,GTP,10,119,0.922,True
imsa,2024,Long Beach,GTP,10,68,0.757,True
imsa,2024,Road America,GTP,10,62,0.664,True
imsa,2024,Road Atlanta,GTP,11,443,0.919,True
imsa,2024,Sebring,GTP,11,333,0.84,True
imsa,2024,Watkins Glen,GTP,11,148,0.736,True
imsa,2025,Daytona,GTP,12,781,0.88,True
imsa,2025,Detroit,GTP,11,84,0.907,True
imsa,2025,Indianapolis,GTP,12,243,0.852,True
imsa,2025,Laguna Seca,GTP,11,124,0.992,True
imsa,2025,Long Beach,GTP,11,75,0.853,True
imsa,2025,Road America,GTP,11,66,0.726,True
imsa,2025,Road Atlanta,GTP,12,436,0.902,True
imsa,2025,Sebring,GTP,13,353,0.905,True
imsa,2025,Watkins Glen,GTP,13,169,0.695,True
imsa,2026,Daytona,GTP,11,705,0.767,True
imsa,2026,Detroit,GTP,11,82,0.878,True
imsa,2026,Laguna Seca,GTP,11,119,0.937,True
imsa,2026,Long Beach,GTP,11,70,0.775,True
imsa,2026,Sebring,GTP,11,343,0.872,True
imsa,2026,Watkins Glen,GTP,11,182,0.782,True
wec,2021,Bahrain 6 Hours,HYPERCAR,3,185,0.0,False
wec,2021,Bahrain 8 Hours,HYPERCAR,3,247,0.0,False
wec,2021,Monza,HYPERCAR,5,204,0.0,False
wec,2021,Portimao,HYPERCAR,4,300,0.0,False
wec,2021,Spa,HYPERCAR,3,162,0.0,False
wec,2022,Bahrain,HYPERCAR,5,245,0.969,True
wec,2022,Fuji,HYPERCAR,5,232,0.996,True
wec,2022,Le Mans,HYPERCAR,5,380,0.992,True
wec,2022,Monza,HYPERCAR,6,194,0.901,True
wec,2022,Sebring,HYPERCAR,4,194,0.967,True
wec,2022,Spa,HYPERCAR,4,103,0.739,True
wec,2023,Bahrain,HYPERCAR,12,249,0.994,True
wec,2023,Fuji,HYPERCAR,12,229,0.984,True
wec,2023,Portimao,HYPERCAR,11,222,0.979,True
wec,2023,Sebring,HYPERCAR,11,239,0.932,True
wec,2023,Spa,HYPERCAR,13,148,0.868,True
wec,2024,Bahrain,HYPERCAR,18,235,0.96,True
wec,2024,COTA,HYPERCAR,18,183,0.983,True
wec,2024,Fuji,HYPERCAR,18,213,0.916,True
wec,2024,Imola,HYPERCAR,19,205,0.935,True
wec,2024,Interlagos,HYPERCAR,19,236,0.983,True
wec,2024,Spa,HYPERCAR,19,141,0.867,True
wec,2025,Bahrain,HYPERCAR,18,237,0.963,True
wec,2025,COTA,HYPERCAR,18,120,0.657,True
wec,2025,Fuji,HYPERCAR,18,202,0.87,True
wec,2025,Imola,HYPERCAR,18,212,0.951,True
wec,2025,Interlagos,HYPERCAR,18,242,0.983,True
wec,2025,Le Mans,HYPERCAR,21,387,0.975,True
wec,2025,Losail,HYPERCAR,18,318,0.938,True
wec,2025,Spa,HYPERCAR,18,150,0.912,True
wec,2026,Imola,HYPERCAR,17,213,0.964,True
wec,2026,Le Mans,HYPERCAR,18,381,0.953,True
wec,2026,Spa,HYPERCAR,17,151,0.921,True
