circuit,era,pit_loss_median_s,pit_loss_iqr_s,n_stops,street
monaco,ground-effect,39.26,15.26,50,True
marina_bay,ground-effect,31.17,6.4,41,True
silverstone,ground-effect,30.19,16.49,75,False
losail,ground-effect,29.52,3.82,57,False
ricard,ground-effect,29.14,3.65,9,False
imola,ground-effect,28.21,2.42,35,False
monza,ground-effect,25.7,3.0,75,False
bahrain,ground-effect,25.02,3.19,137,False
shanghai,ground-effect,24.6,1.91,22,False
zandvoort,ground-effect,24.18,9.94,108,False
vegas,ground-effect,24.01,3.68,55,True
baku,ground-effect,23.43,3.29,41,True
rodriguez,ground-effect,23.41,2.12,61,False
yas_marina,ground-effect,23.37,2.77,92,False
suzuka,ground-effect,23.32,5.41,88,False
catalunya,ground-effect,23.27,2.64,135,False
interlagos,ground-effect,22.28,2.04,74,False
jeddah,ground-effect,21.94,10.1,23,True
hungaroring,ground-effect,21.94,3.15,116,False
red_bull_ring,ground-effect,21.48,2.07,110,False
americas,ground-effect,21.47,2.94,84,False
miami,ground-effect,21.42,3.08,53,True
albert_park,ground-effect,21.38,3.74,51,False
villeneuve,ground-effect,20.11,4.76,55,False
spa,ground-effect,19.11,2.85,107,False
monaco,hybrid-v6,34.47,24.38,71,True
marina_bay,hybrid-v6,27.77,3.28,105,True
sochi,hybrid-v6,26.68,2.96,53,False
monza,hybrid-v6,25.57,2.76,81,False
albert_park,hybrid-v6,25.52,4.44,57,False
bahrain,hybrid-v6,24.74,3.09,141,False
baku,hybrid-v6,24.28,4.01,32,True
sepang,hybrid-v6,24.12,3.82,112,False
shanghai,hybrid-v6,23.86,2.9,130,False
interlagos,hybrid-v6,23.24,3.14,118,False
suzuka,hybrid-v6,23.23,4.16,131,False
yas_marina,hybrid-v6,23.05,3.69,118,False
rodriguez,hybrid-v6,22.98,3.46,49,False
catalunya,hybrid-v6,22.65,2.93,140,False
red_bull_ring,hybrid-v6,22.63,3.2,88,False
hungaroring,hybrid-v6,21.45,2.34,105,False
americas,hybrid-v6,21.24,3.65,85,False
silverstone,hybrid-v6,20.0,16.89,62,False
villeneuve,hybrid-v6,19.59,2.5,90,False
hockenheimring,hybrid-v6,18.76,3.09,113,False
spa,hybrid-v6,18.6,2.89,95,False
marina_bay,v8-blown,29.78,5.87,132,True
albert_park,v8-blown,27.92,4.32,124,False
monza,v8-blown,24.23,4.03,86,False
yeongam,v8-blown,23.62,4.98,116,False
monaco,v8-blown,23.61,6.42,72,True
shanghai,v8-blown,23.35,4.97,164,False
sepang,v8-blown,22.97,9.5,162,False
yas_marina,v8-blown,22.93,3.09,103,False
buddh,v8-blown,22.71,5.08,110,False
bahrain,v8-blown,22.57,4.55,138,False
americas,v8-blown,22.25,3.24,50,False
hungaroring,v8-blown,22.08,4.84,183,False
valencia,v8-blown,22.04,3.98,98,True
suzuka,v8-blown,21.61,4.6,145,False
interlagos,v8-blown,21.48,4.86,159,False
catalunya,v8-blown,21.15,3.18,215,False
nurburgring,v8-blown,20.52,3.66,91,False
istanbul,v8-blown,18.4,4.14,77,False
spa,v8-blown,17.83,4.68,110,False
hockenheimring,v8-blown,17.63,3.88,56,False
villeneuve,v8-blown,16.48,6.74,133,False
silverstone,v8-blown,15.16,4.87,112,False
imola,wide-aero,36.23,18.17,44,False
marina_bay,wide-aero,28.33,12.1,59,True
portimao,wide-aero,27.98,2.66,47,False
losail,wide-aero,26.41,2.38,27,False
sochi,wide-aero,25.88,3.28,90,False
baku,wide-aero,25.53,7.06,65,True
monza,wide-aero,25.51,6.11,76,False
mugello,wide-aero,25.47,3.45,14,False
istanbul,wide-aero,25.24,16.71,54,False
hockenheimring,wide-aero,24.99,17.5,69,False
nurburgring,wide-aero,24.49,7.27,23,False
albert_park,wide-aero,24.38,2.98,50,False
shanghai,wide-aero,24.14,2.44,72,False
ricard,wide-aero,24.12,2.34,60,False
bahrain,wide-aero,23.83,2.87,188,False
catalunya,wide-aero,22.94,2.77,132,False
rodriguez,wide-aero,22.91,3.46,83,False
sepang,wide-aero,22.65,1.79,20,False
yas_marina,wide-aero,22.38,2.65,86,False
suzuka,wide-aero,22.15,3.07,68,False
zandvoort,wide-aero,21.89,2.49,28,False
hungaroring,wide-aero,21.72,4.35,110,False
interlagos,wide-aero,21.52,2.32,107,False
red_bull_ring,wide-aero,21.09,2.05,123,False
americas,wide-aero,21.05,2.82,116,False
monaco,wide-aero,20.71,3.58,75,True
silverstone,wide-aero,19.62,2.72,126,False
villeneuve,wide-aero,19.46,2.48,54,False
spa,wide-aero,18.32,2.08,63,False
