season,circuit,event_name,scheduled_laps,n_drivers
2023,monaco,Monaco Grand Prix,78,20
2023,singapore,Singapore Grand Prix,62,19
2023,barcelona,Spanish Grand Prix,66,20
2023,suzuka,Japanese Grand Prix,53,20
2024,monaco,Monaco Grand Prix,78,20
2024,singapore,Singapore Grand Prix,62,20
2024,barcelona,Spanish Grand Prix,66,20
2024,suzuka,Japanese Grand Prix,53,20
2025,monaco,Monaco Grand Prix,78,20
2025,singapore,Singapore Grand Prix,62,20
2025,barcelona,Spanish Grand Prix,66,19
2025,suzuka,Japanese Grand Prix,53,20
