time_s,Status,Message
0.0,1,AllClear
398.603,2,Yellow
412.259,1,AllClear
1191.886,2,Yellow
1326.399,1,AllClear
3761.403,2,Yellow
3763.872,1,AllClear
4613.044,2,Yellow
4670.246,1,AllClear
4809.353,2,Yellow
4819.681,1,AllClear
8023.686,2,Yellow
8030.999,1,AllClear
8032.358,2,Yellow
8067.67,1,AllClear
8074.107,2,Yellow
8146.465,1,AllClear
8149.637,2,Yellow
8154.371,1,AllClear
8348.462,2,Yellow
8364.555,1,AllClear
8409.367,2,Yellow
8422.585,1,AllClear
8530.974,2,Yellow
8568.864,1,AllClear
8671.143,2,Yellow
8683.94,1,AllClear
9420.864,2,Yellow
9451.864,1,AllClear
